csarp,,,,,,ghsarp,,,,,,sfsarp,,,,
,Scenario ScSp,,Scenario McMp,,,,Scenario ScSp,,Scenario McMp,,,,Scenario ScSp,,Scenario McMp,
Name,Sol Value,Status,Sol Value,Status,,Name,Sol Value,Status,Sol Value,Status,,Name,Sol Value,Status,Sol Value,Status
sarp-7-5-C-2,93.924,Optimal,115.82,Optimal,,ghsarp-6-5-7,27.8623,Optimal,37.2666,Optimal,,sfsarp-7-8-3,41.8179,Optimal,44.7376,Optimal
sarp-7-6-A-1,13.434,Optimal,22.97,Optimal,,ghsarp-6-5-8,29.5145,Optimal,36.0062,Optimal,,sfsarp-7-8-4,41.8295,Optimal,44.6135,Feasible
sarp-7-6-A-2,29.831,Optimal,38.558,Optimal,,ghsarp-6-5-9,38.1454,Optimal,43.7939,Optimal,,sfsarp-7-8-5,41.6894,Optimal,44.5591,Optimal
sarp-7-6-B-1,29.896,Optimal,44.273,Optimal,,ghsarp-6-6-0,29.3062,Optimal,36.384,Optimal,,sfsarp-8-5-1,39.4922,Optimal,39.5525,Optimal
sarp-7-6-B-2,41.464,Optimal,57.002,Optimal,,ghsarp-6-6-1,25.0889,Optimal,31.9862,Optimal,,sfsarp-8-5-2,39.6584,Optimal,39.7482,Optimal
sarp-7-6-C-1,109.037,Optimal,118.621,Optimal,,ghsarp-6-6-2,27.8533,Optimal,45.3648,Optimal,,sfsarp-8-5-3,39.6937,Optimal,39.7202,Optimal
sarp-7-6-C-2,106.026,Optimal,128.237,Optimal,,ghsarp-6-6-3,29.7416,Optimal,40.6921,Optimal,,sfsarp-8-5-4,39.4446,Optimal,39.6666,Optimal
sarp-7-7-A-1,40.981,Optimal,47.838,Optimal,,ghsarp-6-6-4,12.8888,Optimal,26.2159,Optimal,,sfsarp-8-5-5,39.5161,Optimal,39.5491,Optimal
sarp-7-7-A-2,25.404,Optimal,33.982,Optimal,,ghsarp-6-6-5,39.5919,Optimal,46.188,Optimal,,sfsarp-8-6-1,41.984,Optimal,42.1643,Feasible
sarp-7-7-B-1,39.782,Optimal,52.311,Optimal,,ghsarp-6-6-6,30.0463,Optimal,36.9721,Optimal,,sfsarp-8-6-2,42.314,Optimal,42.3523,Feasible
sarp-7-7-B-2,61.846,Optimal,81.856,Optimal,,ghsarp-6-6-7,49.1404,Optimal,55.5045,Optimal,,sfsarp-8-6-3,42.2877,Optimal,42.3387,Feasible
sarp-7-7-C-1,100.168,Optimal,123.662,Optimal,,ghsarp-6-6-8,31.3158,Optimal,46.6639,Optimal,,sfsarp-8-6-4,42.3479,Optimal,42.417,Feasible
sarp-7-7-C-2,86.389,Optimal,104.219,Optimal,,ghsarp-6-6-9,31.8087,Optimal,41.646,Optimal,,sfsarp-8-6-5,42.4142,Optimal,42.4612,Optimal
sarp-7-8-A-1,29.727,Optimal,38.64,Optimal,,ghsarp-6-7-0,31.0969,Optimal,46.0644,Optimal,,sfsarp-8-7-1,44.9433,Optimal,45.1564,Optimal
sarp-7-8-A-2,15.742,Optimal,29.247,Optimal,,ghsarp-6-7-1,30.6641,Optimal,43.9131,Optimal,,sfsarp-8-7-2,45.0353,Optimal,45.1486,Optimal
sarp-7-8-B-1,47.663,Optimal,69.403,Feasible,,ghsarp-6-7-2,24.4506,Optimal,51.8949,Optimal,,sfsarp-8-7-3,45.151,Optimal,45.293,Feasible
sarp-7-8-B-2,33.305,Optimal,56.091,Optimal,,ghsarp-6-7-3,25.8743,Optimal,52.5704,Optimal,,sfsarp-8-7-4,45.0018,Optimal,45.1199,Feasible
sarp-7-8-C-1,67.768,Optimal,114.13,Feasible,,ghsarp-6-7-4,45.8841,Optimal,56.362,Optimal,,sfsarp-8-7-5,44.9992,Optimal,45.0776,Feasible
sarp-7-8-C-2,90.821,Optimal,116.191,Optimal,,ghsarp-6-7-5,36.6825,Optimal,48.7511,Optimal,,sfsarp-9-5-1,42.7922,Optimal,42.8563,Optimal
sarp-8-5-A-1,32.718,Optimal,38.744,Optimal,,ghsarp-6-7-6,25.91,Optimal,51.6588,Optimal,,sfsarp-9-5-2,42.7745,Optimal,42.816,Optimal
sarp-8-5-A-2,26.782,Optimal,37.517,Optimal,,ghsarp-6-7-7,39.9132,Optimal,48.551,Optimal,,sfsarp-9-5-3,42.8008,Optimal,42.8454,Optimal
sarp-8-5-B-1,47.53,Optimal,58.202,Optimal,,ghsarp-6-7-8,33.7523,Optimal,44.5074,Optimal,,sfsarp-9-5-4,42.7597,Optimal,42.7977,Optimal
sarp-8-5-B-2,42.008,Optimal,57.243,Optimal,,ghsarp-6-7-9,31.5134,Optimal,42.6303,Optimal,,sfsarp-9-5-5,42.8363,Optimal,42.9276,Optimal
sarp-8-5-C-1,108.526,Optimal,131.664,Optimal,,ghsarp-6-8-0,30.4083,Optimal,52.7279,Optimal,,sfsarp-9-6-1,45.7664,Optimal,45.8224,Optimal
sarp-8-5-C-2,88.966,Optimal,99.336,Optimal,,ghsarp-6-8-1,32.2714,Optimal,46.3872,Feasible,,sfsarp-9-6-2,45.6038,Optimal,45.6388,Feasible
sarp-8-6-A-1,28.017,Optimal,39.253,Optimal,,ghsarp-6-8-2,30.0433,Optimal,43.2165,Optimal,,sfsarp-9-6-3,45.316,Optimal,45.4079,Optimal
sarp-8-6-A-2,26.247,Optimal,41.651,Optimal,,ghsarp-6-8-3,23.2033,Optimal,48.5573,Optimal,,sfsarp-9-6-4,45.637,Optimal,45.6736,Optimal
